id,X,Y,M,V
2800,-231.38892,-45.71093,86.06767,0.42022148
2801,277.60782,-230.8929,117.924095,0.4037223
2802,-110.179855,240.36491,44.94456,0.34845117
2803,99.617294,216.58743,57.3211,0.38560486
2804,-109.79112,182.9664,89.310936,0.54453945
2805,207.9858,-211.51904,106.27798,0.48656422
2806,-144.73215,227.73538,142.79984,0.7915346
2807,-238.04968,-172.33537,71.54584,0.679103
2808,-21.25727,219.7707,122.32131,0.40245938
2809,84.330124,236.39926,117.068985,0.7213809
2810,74.76186,164.9279,139.73236,0.9675089
2811,-191.86292,221.9855,90.71898,0.19688518
2812,218.10257,307.0268,132.62082,0.50367653
2813,-52.014183,20.769995,71.24945,0.20101479
2814,-225.61722,-183.99998,67.125084,0.73185194
2815,-315.49066,-326.54315,132.60968,0.86519307
2816,5.111517,-259.84323,55.401375,0.58226657
2817,-92.135025,-98.68895,129.32933,0.40875238
2818,-100.987236,34.94972,72.26088,0.7973248
2819,197.0563,-95.22647,125.43005,0.40877494
2820,225.8737,-239.17708,82.630394,0.8077682
2821,-249.99548,-107.39867,79.04999,0.20203242
2822,163.00284,197.78548,53.789288,0.40605575
2823,283.4543,-215.19751,82.156044,0.8024103
2824,383.15805,-150.70752,117.51028,0.7370906
2825,214.68501,-302.7578,49.915344,0.4782238
2826,90.92472,194.97496,75.756744,0.627413
2827,183.17795,186.02393,89.909294,0.65765107
2828,150.43343,-14.904729,134.31989,0.7979202
2829,-135.3558,397.7614,70.505714,0.44114643
2830,259.66852,81.687355,36.72528,0.48463756
2831,-109.61969,157.59007,106.526474,0.9325205
2832,424.1403,-243.73979,68.484146,0.5931805
2833,-374.8199,-46.041294,121.00299,0.6023303
2834,205.12846,-245.40874,124.366844,0.9223259
2835,-56.69448,-8.506658,75.38164,0.63322556
2836,-242.96452,325.77692,79.475815,0.44206652
2837,56.082165,232.48637,86.45729,0.4106493
2838,-189.69368,-174.72632,144.19858,0.20027795
2839,-138.23236,290.41376,79.70557,0.60607994
2840,258.0817,-3.567442,49.722908,0.7070796
2841,32.62101,-326.622,79.99908,0.543501
2842,-154.78511,203.62839,142.06564,0.87196696
2843,-399.08047,-277.08685,80.79768,0.44093603
2844,-219.4692,237.53418,92.671364,0.42554322
2845,259.39798,-144.69296,62.050774,0.20998636
2846,24.291035,-285.43268,65.82033,0.19950464
2847,344.0279,-213.33931,145.60294,0.6884917
2848,135.87483,105.61906,96.7426,0.7655829
2849,245.41751,-216.06873,91.61088,0.2579425
2850,-356.82742,-79.682236,57.29894,0.32901353
2851,391.54233,-206.64798,83.80028,0.8265921
2852,-328.1609,-212.36987,97.35173,0.20714211
2853,421.04547,-198.74112,53.547264,0.5463846
2854,-94.80706,-160.85243,83.38362,0.8498765
2855,-191.78835,54.276745,100.580605,0.7856824
2856,-270.02094,-299.4269,165.65059,0.4401454
2857,340.58463,-157.57196,65.439926,0.67597055
2858,-55.98809,126.971985,122.58565,0.9198391
2859,164.23405,-80.01087,111.7827,0.67703164
2860,-301.295,55.157654,72.0544,0.20319207
2861,274.64972,57.496838,106.98057,0.7706075
2862,61.919044,48.29706,154.21747,0.8370854
2863,-314.59058,207.36954,124.066246,0.66705316
2864,-74.8914,-98.01316,39.781384,0.42498294
2865,413.90884,-229.11816,94.9017,0.75599796
2866,142.9337,33.74958,93.28706,0.6128685
2867,250.92007,214.35641,117.04213,0.4462886
2868,163.5535,-148.63445,88.18478,0.71184856
2869,17.324665,211.59387,31.293783,0.77126145
2870,-373.2708,-207.11545,98.44251,0.7978675
2871,-48.023293,-109.16502,85.90023,0.19952849
2872,-312.02985,-183.00937,106.02812,0.36882976
2873,187.13075,-247.21475,115.61432,0.7300451
2874,76.51247,-84.76425,56.984215,0.46632886
2875,-98.061806,-216.81784,89.94844,0.86563826
2876,28.11879,-324.85306,85.26886,0.41108137
2877,305.2576,195.76501,71.78865,0.4222247
2878,-93.26621,121.39597,39.997383,0.40835744
2879,203.98364,224.23979,62.08663,0.19834614
2880,362.85587,-337.82526,121.65166,0.48393387
2881,-182.1518,-15.862986,107.37315,0.64973307
2882,-204.48784,98.35477,109.906296,0.9771875
2883,-167.78778,9.97273,98.74683,0.7749565
2884,255.48404,179.06985,112.225586,0.6583206
2885,222.50412,-80.65384,120.21763,0.78967655
2886,209.47221,-315.40665,99.13108,0.42557842
2887,-208.48438,-153.31967,130.0246,0.95998317
2888,-127.535866,236.444,70.23081,0.45299262
2889,197.45776,56.24639,70.6946,0.41304654
2890,270.4328,7.3323946,52.44518,0.9020475
2891,54.113464,254.72891,37.21451,0.6305281
2892,132.02686,43.497673,65.77118,0.4319788
2893,-305.60333,-245.4063,135.54291,0.38319188
2894,-247.02823,-253.07207,75.3528,0.6010399
2895,-157.43706,-299.04843,106.00364,0.39683825
2896,-228.95291,-32.126312,118.42521,0.78266114
2897,147.87614,-165.63943,131.96957,0.31064087
2898,264.99725,-167.95847,94.85312,0.86001074
2899,-120.15273,186.9096,71.39894,0.59656894
2900,338.3235,-249.73337,115.551186,0.7140666
2901,207.58508,201.06757,57.163795,0.47622928
2902,-385.22137,-369.2647,83.60657,0.7331467
2903,-331.66916,-39.121433,98.1641,0.9412435
2904,-223.42468,-111.99962,75.1465,0.8798715
2905,51.548912,-101.18626,111.433815,0.21152182
2906,140.50433,-53.807568,69.10929,0.7704626
